pmid,verdict,reason,decided_by,decided_at
41323151,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
41334893,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
41412007,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
41597449,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
41648009,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
41750423,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
41781219,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
41908588,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
42029769,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
42044976,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
42071311,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
42283824,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
42299205,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
42353674,EXCLUDE,narrative review with no primary patient data of its own,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
40596887,EXCLUDE,secondary synthesis (systematic or scoping review); usable for citation-chasing but not a primary study,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
41881246,EXCLUDE,secondary synthesis (systematic or scoping review); usable for citation-chasing but not a primary study,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
41887374,EXCLUDE,secondary synthesis (systematic or scoping review); usable for citation-chasing but not a primary study,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
42198401,EXCLUDE,secondary synthesis (systematic or scoping review); usable for citation-chasing but not a primary study,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
42291894,EXCLUDE,secondary synthesis (systematic or scoping review); usable for citation-chasing but not a primary study,"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
40255216,EXCLUDE,"methodological, survey or in vitro work; no patient outcomes reported","claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
40976373,EXCLUDE,"methodological, survey or in vitro work; no patient outcomes reported","claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
42168489,EXCLUDE,"methodological, survey or in vitro work; no patient outcomes reported","claude-opus-5 (abstract stage, LLM-assisted; pending human verification)",2026-08-04T07:12:18
