study_group,title,year,journal,identifiers,sources,n_source_records
S2049,Nonconventional Therapeutics against Staphylococcus aureus.,2018,Microbiology spectrum,doi:10.1128/microbiolspec.gpp3-0047-2018 pmid:30547858,PubMed; Scopus (brazo B),2
S2011,Nonlytic Recombinant Phage Tail Fiber Protein for Specific Recognition of Pseudomonas aeruginosa.,2018,Analytical chemistry,doi:10.1021/acs.analchem.8b04160 pmid:30481459,PubMed; Scopus (brazo A),2
S15887,Novel N4-like bacteriophages of pectobacterium atrosepticum,2018,Pharmaceuticals,doi:10.3390/ph11020045,Scopus (brazo B),1
S1479,Novel Phage Display-Derived Anti-Abrin Antibodies Confer Post-Exposure Protection against Abrin Intoxication.,2018,Toxins,doi:10.3390/toxins10020080 pmid:29438273,PubMed,1
S1778,Novel T7 Phage Display Library Detects Classifiers for Active Mycobacterium Tuberculosis Infection.,2018,Viruses,doi:10.3390/v10070375 pmid:30029479,PubMed; Scopus (brazo B),2
S1951,Novel autoantibodies against the proteasome subunit PSMA7 in amyotrophic lateral sclerosis.,2018,Journal of neuroimmunology,doi:10.1016/j.jneuroim.2018.09.013 pmid:30390597,PubMed; Scopus (brazo B),2
S1880,Novel crAssphage marker genes ascertain sewage pollution in a recreational lake receiving urban stormwater runoff.,2018,Water research,doi:10.1016/j.watres.2018.08.049 pmid:30223182,PubMed,1
S16060,Novel lytic bacteriophages of Klebsiella oxytoca ABG-IAUF-1 as the potential agents for mastitis phage therapy,2018,FEMS Microbiology Letters,doi:10.1093/femsle/fny223 pmid:30212876,Scopus (brazo B),1
S1824,Novel phages of healthy skin metaviromes from South Africa.,2018,Scientific reports,doi:10.1038/s41598-018-30705-1 pmid:30115980,PubMed,1
S1211,Novel protein therapeutic joint retention strategy based on collagen-binding Avimers.,2018,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,doi:10.1002/jor.23756 pmid:28971529,PubMed,1
S1290,ORFeome Phage Display.,2018,"Methods in molecular biology (Clifton, N.J.)",doi:10.1007/978-1-4939-7447-4_27 pmid:29116523,PubMed,1
S16069,Occurrence and molecular composition of methicillin-resistant Staphylococcus aureus isolated from ocular surfaces of horses presented with ophthalmologic disease,2018,Veterinary Microbiology,doi:10.1016/j.vetmic.2018.06.009 pmid:30080662,Scopus (brazo B),1
S1761,Optimization of a MT1-MMP-targeting Peptide and Its Application in Near-infrared Fluorescence Tumor Imaging.,2018,Scientific reports,doi:10.1038/s41598-018-28493-9 pmid:29985410,PubMed,1
S1753,Outbreak of Escherichia coli O157 Phage Type 32 linked to the consumption of venison products.,2018,Epidemiology and infection,doi:10.1017/s0950268818001784 pmid:29976259,PubMed; Scopus (brazo B),2
S1690,Outside-host phage therapy as a biological control against environmental infectious diseases.,2018,Theoretical biology & medical modelling,doi:10.1186/s12976-018-0079-8 pmid:29879998,PubMed; Scopus (brazo B),2
S1861,Overview of Serpins and Their Roles in Biological Systems.,2018,"Methods in molecular biology (Clifton, N.J.)",doi:10.1007/978-1-4939-8645-3_1 pmid:30194590,PubMed,1
S2009,Oxford nanopore sequencing enables rapid discovery of single-domain antibodies from phage display libraries.,2018,BioTechniques,doi:10.2144/btn-2018-0123 pmid:30477332,PubMed,1
S16026,PEGylated enhanced cell penetrating peptide nanoparticles for lung gene therapy,2018,Journal of Controlled Release,doi:10.1016/j.jconrel.2018.07.001 pmid:30004000,Scopus (brazo B),1
S16052,Painful Ulcer in a Black Man; [Úlcera dolorosa en paciente de raza negra],2018,Actas Dermo-Sifiliograficas,doi:10.1016/j.adengl.2018.03.003 pmid:28963031,Scopus (brazo B),1
S16042,Parallel evolution of host-attachment proteins in phage PP01 populations adapting to escherichia coli O157:H7,2018,Pharmaceuticals,doi:10.3390/ph11020060,Scopus (brazo B),1
S1278,Parallelized Antibody Selection in Microtiter Plates.,2018,"Methods in molecular biology (Clifton, N.J.)",doi:10.1007/978-1-4939-7447-4_14 pmid:29116510,PubMed,1
S1775,Parkinson's disease and bacteriophages as its overlooked contributors.,2018,Scientific reports,doi:10.1038/s41598-018-29173-4 pmid:30018338,PubMed,1
S16439,Pathogen-Specific Bacterial Imaging in Nuclear Medicine,2018,Seminars in Nuclear Medicine,doi:10.1053/j.semnuclmed.2017.11.003 pmid:29452620,Scopus (brazo B),1
S1597,Peptide Derivatives of Erythropoietin in the Treatment of Neuroinflammation and Neurodegeneration.,2018,Advances in protein chemistry and structural biology,doi:10.1016/bs.apcsb.2018.01.007 pmid:29680240,PubMed,1
S1954,Peptide mimetic of N-terminal ghrelin enhances ghrelin-induced growth hormone secretion and c-Fos expression in mice.,2018,Journal of neuroendocrinology,doi:10.1111/jne.12656 pmid:30394584,PubMed; Scopus (brazo B),2
S1493,Performance evaluation of phage-displayed synthetic human single-domain antibody libraries: A retrospective analysis.,2018,Journal of immunological methods,doi:10.1016/j.jim.2018.02.009 pmid:29462605,PubMed,1
S1129,Persistence of MS-2 Bacteriophage Within Eastern Oysters.,2018,Food and environmental virology,doi:10.1007/s12560-017-9315-3 pmid:28831665,PubMed,1
S1228,Persistent Norovirus Contamination of Groundwater Supplies in Two Waterborne Outbreaks.,2018,Food and environmental virology,doi:10.1007/s12560-017-9320-6 pmid:29022247,PubMed,1
S15884,Perspectives of phage-eukaryotic cell interactions to control Epstein-Barr virus infections,2018,Frontiers in Microbiology,doi:10.3389/fmicb.2018.00630,Scopus (brazo B),1
S16370,Perspectives on the discovery of NOTCH2-specific inhibitors,2018,Chemical Biology and Drug Design,doi:10.1111/cbdd.13132 pmid:29078041,Scopus (brazo B),1
S1859,PhIP-Seq characterization of serum antibodies using oligonucleotide-encoded peptidomes.,2018,Nature protocols,doi:10.1038/s41596-018-0025-6 pmid:30190553,PubMed,1
S1583,Phage Aggregation-Dispersion by Ions: Striving beyond Antibacterial Therapy.,2018,Trends in biotechnology,doi:10.1016/j.tibtech.2018.03.002 pmid:29650392,PubMed; Scopus (brazo A),2
S16389,Phage Application for the Protection from Acute Hepatopancreatic Necrosis Disease (AHPND) in Penaeus vannamei,2018,Indian Journal of Microbiology,doi:10.1007/s12088-017-0694-9,Scopus (brazo B),1
S16033,"Phage Display Selection, In Vitro Characterization, and Correlative PET Imaging of a Novel HER3 Peptide",2018,Molecular Imaging and Biology,doi:10.1007/s11307-017-1106-6 pmid:28733706,Scopus (brazo B),1
S1281,Phage Display and Selections on Cells.,2018,"Methods in molecular biology (Clifton, N.J.)",doi:10.1007/978-1-4939-7447-4_17 pmid:29116513,PubMed,1
S1604,Phage Display of Dynamic Covalent Binding Motifs Enables Facile Development of Targeted Antibiotics.,2018,Journal of the American Chemical Society,doi:10.1021/jacs.8b02461 pmid:29701966,PubMed,1
S1809,Phage Display-Derived Peptide-Based Dual-Modality Imaging Probe for Bladder Cancer Diagnosis and Resection Postinstillation: A Preclinical Study.,2018,Molecular cancer therapeutics,doi:10.1158/1535-7163.mct-18-0212 pmid:30082470,PubMed; Scopus (brazo B),2
S9580,Phage II Trial of Stathmin as Predictive Biomarker for TPF Induction Chemotherapy in OSCC,2018,,nct:NCT03326947,ClinicalTrials.gov,1
S0626,Phage Immunoprecipitation Sequencing of Autoantigens in Autoimmune Retinopathy.,2018,Ocular immunology and inflammation,doi:10.1080/09273948.2016.1232738 pmid:27726466,PubMed; Scopus (brazo B),2
S1995,Phage Lysins for Fighting Bacterial Respiratory Infections: A New Generation of Antimicrobials.,2018,Frontiers in immunology,doi:10.3389/fimmu.2018.02252 pmid:30459750,PubMed; Scopus (brazo A),2
S1847,Phage Morons Play an Important Role in Pseudomonas aeruginosa Phenotypes.,2018,Journal of bacteriology,doi:10.1128/jb.00189-18 pmid:30150232,PubMed; Scopus (brazo A); Scopus (brazo B),3
S1701,Phage Therapy Faces Evolutionary Challenges.,2018,Viruses,doi:10.3390/v10060323 pmid:29895791,PubMed; Scopus (brazo B),2
S15983,Phage Therapy for a Multidrug-Resistant Acinetobacter baumannii Craniectomy Site Infection,2018,Open Forum Infectious Diseases,doi:10.1093/ofid/ofy064,Scopus (brazo B),1
S1408,Phage Therapy: Various Perspectives on How to Improve the Art.,2018,"Methods in molecular biology (Clifton, N.J.)",doi:10.1007/978-1-4939-7604-1_11 pmid:29288451,PubMed,1
S1664,Phage Therapy: What Have We Learned?,2018,Viruses,doi:10.3390/v10060288 pmid:29843391,PubMed; Scopus (brazo B),2
S1473,Phage display antibodies against ectromelia virus that neutralize variola virus: Selection and implementation for p35 neutralizing epitope mapping.,2018,Antiviral research,doi:10.1016/j.antiviral.2018.02.006 pmid:29427674,PubMed,1
S1694,Phage display selection of fully human antibody fragments to inhibit growth-promoting effects of glycine-extended gastrin 17 on human colorectal cancer cells.,2018,"Artificial cells, nanomedicine, and biotechnology",doi:10.1080/21691401.2018.1478846 pmid:29886758,PubMed; Scopus (brazo B),2
S1772,Phage display: an important tool in the discovery of peptides with anti-HIV activity.,2018,Biotechnology advances,doi:10.1016/j.biotechadv.2018.07.003 pmid:30012540,PubMed,1
S1645,Phage therapy against Achromobacter xylosoxidans lung infection in a patient with cystic fibrosis: a case report.,2018,Research in microbiology,doi:10.1016/j.resmic.2018.05.001 pmid:29777836,PubMed; Scopus (brazo B),2
S16421,Phage therapy as a promising new treatment for lung infection caused by carbapenem-resistant Acinetobacter baumannii in mice,2018,Frontiers in Microbiology,doi:10.3389/fmicb.2017.02659,Scopus (brazo B),1
S1814,Phage therapy for respiratory infections.,2018,Advanced drug delivery reviews,doi:10.1016/j.addr.2018.08.001 pmid:30096336,PubMed; Scopus (brazo A); Scopus (brazo B),3
S1440,Phage therapy in allergic disorders?,2018,"Experimental biology and medicine (Maywood, N.J.)",doi:10.1177/1535370218755658 pmid:29359577,PubMed,1
S16109,Phage therapy in prostatitis: Recent prospects,2018,Frontiers in Microbiology,doi:10.3389/fmicb.2018.01434,Scopus (brazo B),1
S16079,Phage therapy in treatment of gram-negative bacterial infections: A systematic review,2018,Journal of Mazandaran University of Medical Sciences,,Scopus (brazo B),1
S11187,Phage therapy: An ancient future concept; [Phagentherapie: Ein uraltes Zukunftskonzept],2018,Pharmazeutische Zeitung,,Scopus (brazo A); Scopus (brazo B),2
S16088,Phage therapy: Beyond antibacterial action,2018,Frontiers in Medicine,doi:10.3389/fmed.2018.00146,Scopus (brazo B),1
S9875,Phage therapy: progress in pharmacokinetics,2018,Brazilian Journal of Pharmaceutical Sciences,doi:10.1590/s2175-97902018000117093,SciELO; Scopus (brazo B),2
S1553,Phage treatment of an aortic graft infected with Pseudomonas aeruginosa.,2018,"Evolution, medicine, and public health",doi:10.1093/emph/eoy005 pmid:29588855,PubMed; Scopus (brazo A); Scopus (brazo B),3
S15924,Phage vaccines displaying YGKDVKDLFDYAQE epitope induce protection against systemic candidiasis in mouse model,2018,Vaccine,doi:10.1016/j.vaccine.2018.08.011 pmid:30111514,Scopus (brazo B),1
S1927,Phage-Based Anti-HER2 Vaccination Can Circumvent Immune Tolerance against Breast Cancer.,2018,Cancer immunology research,doi:10.1158/2326-6066.cir-18-0179 pmid:30327365,PubMed; Scopus (brazo B),2
S1767,Phage-Based Applications in Synthetic Biology.,2018,Annual review of virology,doi:10.1146/annurev-virology-092917-043544 pmid:30001182,PubMed; Scopus (brazo B),2
S1666,Phage-Derived Peptidoglycan Degrading Enzymes: Challenges and Future Prospects for In Vivo Therapy.,2018,Viruses,doi:10.3390/v10060292 pmid:29844287,PubMed,1
S11232,Phage-bacterial dynamics with spatial structure: Self organization around phage sinks can promote increased cell densities,2018,Antibiotics,doi:10.3390/antibiotics7010008,Scopus (brazo A); Scopus (brazo B),2
S1554,Phage-based Nanomedicines as New Immune Therapeutic Agents for Breast Cancer.,2018,Current pharmaceutical design,doi:10.2174/1381612824666180327152117 pmid:29589543,PubMed,1
S1424,Phage-derived lysins as potential agents for eradicating biofilms and persisters.,2018,Drug discovery today,doi:10.1016/j.drudis.2018.01.026 pmid:29326076,PubMed,1
S1481,Phage-derived lysins as therapeutic agents against multidrug-resistant Enterococcus faecalis.,2018,Future microbiology,doi:10.2217/fmb-2017-0235 pmid:29441802,PubMed; Scopus (brazo B),2
S1314,Phage-derived protein-mediated targeted chemotherapy of pancreatic cancer.,2018,Journal of drug targeting,doi:10.1080/1061186x.2017.1405424 pmid:29132246,PubMed,1
S1292,Phagekines: Screening Binding Properties and Biological Activity of Functional Cytokines Displayed on Phages.,2018,"Methods in molecular biology (Clifton, N.J.)",doi:10.1007/978-1-4939-7447-4_30 pmid:29116526,PubMed,1
S1660,Phages & antibiotic resistance: are the most abundant entities on earth ready for a comeback?,2018,Future microbiology,doi:10.2217/fmb-2017-0261 pmid:29792526,PubMed; Scopus (brazo A); Scopus (brazo B),3
S1595,Phages Make for Jolly Good Stories.,2018,Viruses,doi:10.3390/v10040209 pmid:29677137,PubMed; Scopus (brazo B),2
S1569,Phages infecting Faecalibacterium prausnitzii belong to novel viral genera that help to decipher intestinal viromes.,2018,Microbiome,doi:10.1186/s40168-018-0452-1 pmid:29615108,PubMed; Scopus (brazo B),2
S1394,Phages of life - the path to pharma.,2018,British journal of pharmacology,doi:10.1111/bph.14106 pmid:29266197,PubMed; Scopus (brazo A); Scopus (brazo B),3
S16000,"Pharyngeal electrical stimulation for early decannulation in tracheotomised patients with neurogenic dysphagia after stroke (PHAST-TRAC): a prospective, single-blinded, randomised trial",2018,The Lancet Neurology,doi:10.1016/s1474-4422(18)30255-2 pmid:30170898,Scopus (brazo B),1
S1848,Phenotypic Lentivirus Screens to Identify Antiviral Single Domain Antibodies.,2018,"Methods in molecular biology (Clifton, N.J.)",doi:10.1007/978-1-4939-8678-1_7 pmid:30151572,PubMed,1
S2072,Phenotypic and genomic analyses of bacteriophages targeting environmental and clinical CS3-expressing enterotoxigenic Escherichia coli (ETEC) strains.,2018,PloS one,doi:10.1371/journal.pone.0209357 pmid:30571788,PubMed,1
S15961,Phenotypic and genotypic characterization of temporally related nontyphoidal Salmonella strains isolated from humans and food animals in central Ethiopia,2018,Zoonoses and Public Health,doi:10.1111/zph.12490 pmid:29984468,Scopus (brazo B),1
S11226,Physical and chemical properties of recombinant KPP10 phage lysins and their antimicrobial activity against Pseudomonas aeruginosa,2018,Bulletin of Russian State Medical University,doi:10.24075/brsmu.2018.010,Scopus (brazo A); Scopus (brazo B),2
S1533,Piperacillin and ceftazidime produce the strongest synergistic phage-antibiotic effect in Pseudomonas aeruginosa.,2018,Archives of virology,doi:10.1007/s00705-018-3811-0 pmid:29550930,PubMed; Scopus (brazo A); Scopus (brazo B),3
S1082,Plant viral and bacteriophage delivery of nucleic acid therapeutics.,2018,Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,doi:10.1002/wnan.1487 pmid:28719102,PubMed,1
S16177,Plant-derived chimeric antibodies inhibit the invasion of human fibroblasts by Toxoplasma gondii,2018,PeerJ,doi:10.7717/peerj.5780,Scopus (brazo B),1
S1495,Plasmid Partitioning by Human Tumor Viruses.,2018,Journal of virology,doi:10.1128/jvi.02170-17 pmid:29467315,PubMed,1
S1427,Polypharmacy through Phage Display: Selection of Glucagon and GLP-1 Receptor Co-agonists from a Phage-Displayed Peptide Library.,2018,Scientific reports,doi:10.1038/s41598-017-18494-5 pmid:29330364,PubMed,1
S1705,Polyvalent Hybrid Virus-Like Nanoparticles with Displayed Heparin Antagonist Peptides.,2018,Molecular pharmaceutics,doi:10.1021/acs.molpharmaceut.8b00135 pmid:29902009,PubMed,1
S15977,"Porcine Response to a Multidrug-Resistant Salmonella enterica serovar i 4,[5],12:i:- Outbreak Isolate",2018,Foodborne Pathogens and Disease,doi:10.1089/fpd.2017.2378 pmid:29412766,Scopus (brazo B),1
S2024,Potent Cas9 Inhibition in Bacterial and Human Cells by AcrIIC4 and AcrIIC5 Anti-CRISPR Proteins.,2018,mBio,doi:10.1128/mbio.02321-18 pmid:30514786,PubMed,1
S1917,Potential Application of Bacteriophages in Enrichment Culture for Improved Prenatal Streptococcus agalactiae Screening.,2018,Viruses,doi:10.3390/v10100552 pmid:30308933,PubMed,1
S1652,Potential Treatment Options in a Post-antibiotic Era.,2018,Advances in experimental medicine and biology,doi:10.1007/978-981-10-7572-8_5 pmid:29785480,PubMed,1
S16417,Potential for bacteriophage endolysins to supplement or replace antibiotics in food production and clinical care,2018,Antibiotics,doi:10.3390/antibiotics7010017,Scopus (brazo B),1
S16331,Potential of phage therapy in digestive diseases in children,2018,Voprosy Prakticheskoi Pediatrii,doi:10.20953/1817-7646-2018-4-82-90,Scopus (brazo B),1
S1381,Pre-clinical study of a TNFR1-targeted 18F probe for PET imaging of breast cancer.,2018,Amino acids,doi:10.1007/s00726-017-2526-y pmid:29243062,PubMed,1
S16320,Pre-clinical validation of B cell maturation antigen (BCMA) as a target for T cell immunotherapy of multiple myeloma,2018,Oncotarget,doi:10.18632/oncotarget.25359 pmid:29899820,Scopus (brazo B),1
S9756,Prebiotic Treatment in People With Schizophrenia - Pilot Study,2018,https://clinicaltrials.gov/show/NCT03617783,doi:10.1002/central/cn-01661873/full nct:NCT03617783,Cochrane CENTRAL,1
S1539,"Preclinical pharmacokinetics, interspecies scaling, and pharmacokinetics of a Phase I clinical trial of TTAC-0001, a fully human monoclonal antibody against vascular endothelial growth factor 2.",2018,"Drug design, development and therapy",doi:10.2147/dddt.s150241 pmid:29563774,PubMed; Scopus (brazo B),2
S1430,Preparation and characterization of the antibody recognizing AMACR inside its catalytic center.,2018,International journal of oncology,doi:10.3892/ijo.2017.4220 pmid:29345292,PubMed; Scopus (brazo B),2
S15889,Preparation and characterization of transdermal mediated microemulsion delivery of T4 bacteriophages against E.coli bacteria: a novel anti-microbial approach,2018,Journal of Pharmaceutical Investigation,doi:10.1007/s40005-017-0335-7,Scopus (brazo B),1
S16402,"Prevalence and Antimicrobial Susceptibility Profile of Salmonella Serovars Isolated from Slaughtered Cattle in Addis Ababa, Ethiopia",2018,BioMed Research International,doi:10.1155/2018/9794869 pmid:30533445,Scopus (brazo B),1
S1754,Prevalence and Genomic Structure of Bacteriophage phi3 in Human-Derived Livestock-Associated Methicillin-Resistant Staphylococcus aureus Isolates from 2000 to 2015.,2018,Journal of clinical microbiology,doi:10.1128/jcm.00140-18 pmid:29976589,PubMed; Scopus (brazo B),2
S16407,Prevalence and antimicrobial resistance among Escherichia coli and Salmonella in Ontario smallholder chicken flocks,2018,Zoonoses and Public Health,doi:10.1111/zph.12381 pmid:28766871,Scopus (brazo B),1
S15966,Prevention of dermal abscess formation caused by Staphylococcus aureus using phage JD007 in nude mice,2018,Frontiers in Microbiology,doi:10.3389/fmicb.2018.01553,Scopus (brazo B),1
S16001,Primary Prevention of Clostridium difficile-Associated Diarrhea: Current Controversies and Future Tools,2018,Current Infectious Disease Reports,doi:10.1007/s11908-018-0639-4,Scopus (brazo B),1
S16199,Probiotics for prevention of Clostridium difficile infection,2018,Current Opinion in Gastroenterology,doi:10.1097/mog.0000000000000410 pmid:29189354,Scopus (brazo B),1
S1444,Production and characterization of a novel Delta-like 1 functional unit as a tool for Notch pathway activation and generation of a specific antibody.,2018,Protein expression and purification,doi:10.1016/j.pep.2018.01.008 pmid:29366964,PubMed,1
S1415,Production of human single-chain fragment antibody (ScFv) against human epidermal growth factor receptor-2 (HER-2) by phage display technology.,2018,In vitro cellular & developmental biology. Animal,doi:10.1007/s11626-017-0221-7 pmid:29305748,PubMed,1
S15882,Progress Toward the Clinical Translation of Bioinspired Peptide and Protein Assemblies,2018,Advanced Healthcare Materials,doi:10.1002/adhm.201700930 pmid:29115746,Scopus (brazo B),1
S16315,Progress and challenges in the design and clinical development of antibodies for cancer therapy,2018,Frontiers in Immunology,doi:10.3389/fimmu.2017.01751,Scopus (brazo B),1
S1332,Proof-of-Principle Study in a Murine Lung Infection Model of Antipseudomonal Activity of Phage PEV20 in a Dry-Powder Formulation.,2018,Antimicrobial agents and chemotherapy,doi:10.1128/aac.01714-17 pmid:29158280,PubMed; Scopus (brazo A); Scopus (brazo B),3
S9586,Prospective Collection of Tumor Biopsy and Plasma Samples From Cancer Patients Treated With Molecular Targeted Therapies or Immunotherapy,2018,,nct:NCT03835520,ClinicalTrials.gov,1
S15899,Prospects for biocontrol of Vibrio parahaemolyticus contamination in blue mussels (Mytilus edulus)-A year-long study,2018,Frontiers in Microbiology,doi:10.3389/fmicb.2018.01043,Scopus (brazo B),1
S1486,Prostaglandin D2 Receptor DP1 Antibodies Predict Vaccine-induced and Spontaneous Narcolepsy Type 1: Large-scale Study of Antibody Profiling.,2018,EBioMedicine,doi:10.1016/j.ebiom.2018.01.043 pmid:29449194,PubMed; Scopus (brazo B),2
S1961,Protective Epitope Discovery and Design of MUC1-based Vaccine for Effective Tumor Protections in Immunotolerant Mice.,2018,Journal of the American Chemical Society,doi:10.1021/jacs.8b08473 pmid:30398345,PubMed,1
S1842,Protective antigenic sites in respiratory syncytial virus G attachment protein outside the central conserved and cysteine noose domains.,2018,PLoS pathogens,doi:10.1371/journal.ppat.1007262 pmid:30142227,PubMed,1
S1384,Protein Inhibitors of CRISPR-Cas9.,2018,ACS chemical biology,doi:10.1021/acschembio.7b00831 pmid:29251498,PubMed; Scopus (brazo A),2
S16270,Protein expression modifications in phage-resistant mutants of Aeromonas salmonicida after AS-A phage treatment,2018,Antibiotics,doi:10.3390/antibiotics7010021,Scopus (brazo B),1
S1828,Proteome-wide analysis of phospho-regulated PDZ domain interactions.,2018,Molecular systems biology,doi:10.15252/msb.20178129 pmid:30126976,PubMed,1
S1747,Pseudaminic Acid on Exopolysaccharide of Acinetobacter baumannii Plays a Critical Role in Phage-Assisted Preparation of Glycoconjugate Vaccine with High Antigenicity.,2018,Journal of the American Chemical Society,doi:10.1021/jacs.8b04078 pmid:29965749,PubMed,1
S1513,Pseudomonas aeruginosa MutL promotes large chromosomal deletions through non-homologous end joining to prevent bacteriophage predation.,2018,Nucleic acids research,doi:10.1093/nar/gky160 pmid:29514250,PubMed; Scopus (brazo A),2
S1317,Pseudomonas aeruginosa defends against phages through type IV pilus glycosylation.,2018,Nature microbiology,doi:10.1038/s41564-017-0061-y pmid:29133883,PubMed; Scopus (brazo A),2
S1410,Quantitative CrAssphage real-time PCR assay derived from data of multiple geographically distant populations.,2018,Journal of medical virology,doi:10.1002/jmv.25012 pmid:29297933,PubMed; Scopus (brazo B),2
S1953,RNA chaperone assisted intramolecular annealing reaction towards oligouridylated RNA detection in cancer cells.,2018,The Analyst,doi:10.1039/c8an01662c pmid:30393796,PubMed,1
S16011,RNA interference as a prospective tool for the control of human viral infections,2018,Frontiers in Microbiology,doi:10.3389/fmicb.2018.02151,Scopus (brazo B),1
S1442,Radiolabeled GX1 Peptide for Tumor Angiogenesis Imaging.,2018,Applied biochemistry and biotechnology,doi:10.1007/s12010-018-2700-z pmid:29362989,PubMed,1
S1571,Rapid Identification of Intact Staphylococcal Bacteriophages Using Matrix-Assisted Laser Desorption Ionization-Time-of-Flight Mass Spectrometry.,2018,Viruses,doi:10.3390/v10040176 pmid:29617332,PubMed; Scopus (brazo B),2
S16312,"Rapid detection of salmonellosis due to Salmonella enterica serovar typhimurium in peruvian commercially bred cavies, using indigenous wild bacteriophages",2018,GERMS,doi:10.18683/germs.2018.1144,Scopus (brazo B),1
S1985,Rapid evolution of decreased host susceptibility drives a stable relationship between ultrasmall parasite TM7x and its bacterial host.,2018,Proceedings of the National Academy of Sciences of the United States of America,doi:10.1073/pnas.1810625115 pmid:30442671,PubMed,1
S1931,Rapid evolution of generalized resistance mechanisms can constrain the efficacy of phage-antibiotic treatments.,2018,Evolutionary applications,doi:10.1111/eva.12653 pmid:30344632,PubMed; Scopus (brazo A),2
S1612,Rapid immune reconstitution of SCID-X1 canines after G-CSF/AMD3100 mobilization and in vivo gene therapy.,2018,Blood advances,doi:10.1182/bloodadvances.2018016451 pmid:29720491,PubMed,1
S1729,Rapid label-free detection of E. coli using a novel SPR biosensor containing a fragment of tail protein from phage lambda.,2018,Preparative biochemistry & biotechnology,doi:10.1080/10826068.2018.1466154 pmid:29932795,PubMed; Scopus (brazo A),2
S1912,Rational approach in the management of Pseudomonas aeruginosa infections.,2018,Current opinion in infectious diseases,doi:10.1097/qco.0000000000000505 pmid:30299364,PubMed; Scopus (brazo A); Scopus (brazo B),3
S1380,Rational library design by functional CDR resampling.,2018,New biotechnology,doi:10.1016/j.nbt.2017.12.005 pmid:29242049,PubMed,1
S16016,Real-time assessment of bacteriophage T3-derived antimicrobial activity against planktonic and biofilm-embedded Escherichia coli by isothermal microcalorimetry,2018,Research in Microbiology,doi:10.1016/j.resmic.2018.05.010 pmid:29886257,Scopus (brazo B),1
S1811,Rebuilding the Gut Microbiota Ecosystem.,2018,International journal of environmental research and public health,doi:10.3390/ijerph15081679 pmid:30087270,PubMed; Scopus (brazo B),2
S1331,Recent advances in bacteriophage-based methods for bacteria detection.,2018,Drug discovery today,doi:10.1016/j.drudis.2017.11.007 pmid:29158194,PubMed,1
S11277,Recent advances on topical antimicrobials for skin and soft tissue infections and their safety concerns,2018,Critical Reviews in Microbiology,doi:10.1080/1040841x.2017.1313811 pmid:28423970,Scopus (brazo A); Scopus (brazo B),2
S1435,Recent perspectives on the molecular basis of biofilm formation by Pseudomonas aeruginosa and approaches for treatment and biofilm dispersal.,2018,Folia microbiologica,doi:10.1007/s12223-018-0585-4 pmid:29352409,PubMed; Scopus (brazo A); Scopus (brazo B),3
S16215,Recombinant endolysins as potential therapeutics against antibiotic-resistant staphylococcus aureus: Current status of research and novel delivery strategies,2018,Clinical Microbiology Reviews,doi:10.1128/cmr.00071-17 pmid:29187396,Scopus (brazo B),1
S1950,"Recombinant, Fluorescent, Peptidomimetic Tracer for Immunodetection of Imidaclothiz.",2018,Analytical chemistry,doi:10.1021/acs.analchem.8b03685 pmid:30387991,PubMed,1
S1447,Recombination of plasmids in a carbapenem-resistant NDM-5-producing clinical Escherichia coli isolate.,2018,The Journal of antimicrobial chemotherapy,doi:10.1093/jac/dkx540 pmid:29373691,PubMed; Scopus (brazo B),2
S1299,Recovery and Characterization of Bacteria Resisting Infection by Lytic Bacteriophage.,2018,"Methods in molecular biology (Clifton, N.J.)",doi:10.1007/978-1-4939-7395-8_8 pmid:29119434,PubMed; Scopus (brazo A),2
S1568,Recurrent outbreaks caused by the same Salmonella enterica serovar Infantis clone in a German rehabilitation oncology clinic from 2002 to 2009.,2018,The Journal of hospital infection,doi:10.1016/j.jhin.2018.03.035 pmid:29614246,PubMed; Scopus (brazo B),2
S1393,Redox-Inactive Peptide Disrupting Trx1-Ask1 Interaction for Selective Activation of Stress Signaling.,2018,Biochemistry,doi:10.1021/acs.biochem.7b01083 pmid:29261301,PubMed,1
S1223,Refractory Pseudomonas Bacteremia in a 2-Year-Old Sterilized by Bacteriophage Therapy.,2018,Journal of the Pediatric Infectious Diseases Society,doi:10.1093/jpids/pix056 pmid:28992111,PubMed; Scopus (brazo A); Scopus (brazo B),3
S1655,Regulating the Uptake of Viral Nanoparticles in Macrophage and Cancer Cells via a pH Switch.,2018,Molecular pharmaceutics,doi:10.1021/acs.molpharmaceut.8b00348 pmid:29787282,PubMed,1
S1564,Regulatory pathways to enable the licencing of alternatives to antibiotics.,2018,Biologicals : journal of the International Association of Biological Standardization,doi:10.1016/j.biologicals.2018.03.003 pmid:29610042,PubMed; Scopus (brazo B),2
S1629,Regulatory protein SrpA controls phage infection and core cellular processes in Pseudomonas aeruginosa.,2018,Nature communications,doi:10.1038/s41467-018-04232-6 pmid:29748556,PubMed; Scopus (brazo A),2
S1730,Relating Phage Genomes to Helicobacter pylori Population Structure: General Steps Using Whole-Genome Sequencing Data.,2018,International journal of molecular sciences,doi:10.3390/ijms19071831 pmid:29933614,PubMed,1
S1578,Reproducible protocols for metagenomic analysis of human faecal phageomes.,2018,Microbiome,doi:10.1186/s40168-018-0446-z pmid:29631623,PubMed,1
