N°,Documento,Año,P – Población (humanos hospitalizados),I – Intervención (fagoterapia real),S – Diseño (incluible),Antigüedad (≤5 años),Decisión final,Evidencia textual de respaldo,Notas,Origen de la cepa bacteriana (solo si P=No cumple),¿Es P. aeruginosa específicamente?
64,Teney et al. 2024 - Fagoterapia en Paciente Quemado con XDR P. aeruginosa,2024,CUMPLE: 1 paciente humano real (quemado),CUMPLE: fagoterapia administrada clinicamente,CUMPLE: reporte de caso,CUMPLE (2024),INCLUIDO,"""Fagoterapia en un Paciente Quemado Colonizado con Pseudomonas aeruginosa Extensamente Resistente, Responsable de Neumonia Asociada a Ventilacion Mecanica Recurrente y Bacteriemia"". Publicado 5 julio 2024.","CANDIDATO PARA EXTRACCION DE DATOS. Caso unico, contexto de neumonia asociada a ventilacion + bacteriemia.","N/A — paciente tratado directamente, no aplica distinción de origen de cepa.",Sí
65,Thomas y Thomas 2021 - Biofilms en pacientes quemados y superficies hospitalarias (Revision Sistematica),2021,N/A,"Aborda multiples intervenciones incl. fagos, narrativamente",No cumple: Revision Sistematica (revision secundaria),Cumple,EXCLUIDO,"Titulo ""Una Revision Sistematica""; evalua 31 intervenciones distintas, no solo fagos.","Es revision SISTEMATICA (no narrativa) - criterio literal del usuario solo excluye 'narrativa'; se marca excluido por ser literatura secundaria, pero se senala para tu criterio.","N/A — excluido por otro criterio (I/S), no por Población.","Parcial — biofilms en quemados por múltiples organismos (P. aeruginosa, MRSA, Acinetobacter); evalúa 31 intervenciones distintas"
66,"Tsai et al. 2023 - fago phiPA1-3, modelo Pez Cebra",2023,No cumple: modelo Pez Cebra confirmado (rescue experiments),Cumple,Cumple,Cumple,EXCLUIDO,"""experimentos de infeccion en pez cebra y rescate con fagos""; ""PhiPA1-3 rescato a los peces cebra infectados con P. aeruginosa PA001"".","Modelo animal (pez cebra), confirmado via texto completo (no visible en abstract).","MIXTO: cepa PA001 ""aislada del esputo del paciente"" + ATCC/PAO1 adicionales — ensayo in vivo en pez cebra.",Sí
67,Van Helden et al. 2026 - exopolisacarido de biofilm y actividad de fagos,2026,"No cumple: 10 aislados clinicos + 2 de laboratorio, todo in vitro",Cumple,Cumple,Cumple,EXCLUIDO,Caracterizacion de biofilm y CMI en laboratorio.,Estudio mecanistico in vitro.,"MIXTO explícito: ""10 aislados clinicos y dos aislados de laboratorio de P. aeruginosa"" (PAO1/PA14).",Sí
68,Van Nieuwenhuyse et al. 2022 - fagoterapia-antibiotico IV en trasplante hepatico pediatrico,2022,CUMPLE: 1 paciente humano real (lactante),"CUMPLE: terapia combinada fago-antibiotico IV, 86 dias",CUMPLE: reporte de caso,CUMPLE (2022),INCLUIDO,"""un lactante que sufrio sepsis por Pseudomonas aeruginosa extensamente resistente tras un trasplante hepatico. Fue tratado con terapia combinada intravenosa de fago-antibiotico durante 86 dias"". Nature Communications.","CANDIDATO PARA EXTRACCION DE DATOS. Caso de sepsis post-trasplante, duracion de tratamiento documentada (86 dias).","N/A — paciente tratado directamente, no aplica distinción de origen de cepa.",Sí
69,Vashisth et al. 2023 - coctel de fagos vs biofilm XDR,2023,No cumple: cateteres urinarios y cubreobjetos de vidrio en laboratorio,Cumple: coctel de fagos completo,Cumple,Cumple,EXCLUIDO,"""erradicacion de biofilms multicapa de 4 dias de P. aeruginosa XDR en cateteres urinarios y cubreobjetos de vidrio"" (ambos ex vivo/laboratorio).",Sin paciente real.,No especificado con claridad en el texto disponible.,Sí
70,Wang et al. 2021 - Artilysin SMAP29-LysPA26,2021,No cumple: ensayos en laboratorio,"No cumple: artilysin, constructo proteico disenado",Cumple,Cumple,EXCLUIDO,"""artilisinas con el peptido antimicrobiano SMAP29 fusionado al extremo N-terminal de LysPA26"".","Proteina aislada, no fago completo.",No verificado en esta ronda — revisar manualmente si es relevante.,Sí
71,Weng et al. 2025 - peptidos codificados por Inovirus (PftP4),2025,No cumple: sobreexpresion en laboratorio,No cumple: polipeptido aislado de 33 aminoacidos,Cumple,Cumple,EXCLUIDO,"""un polipeptido de 33 aminoacidos que denominamos polipeptido toxico codificado por Pf4 (PftP4)"".","Peptido aislado, no fago completo.",No verificado en esta ronda — revisar manualmente si es relevante.,Sí
72,Wilkinson et al. 2025 - peptido antimicrobiano gp28,2025,No cumple: ensayos de inhibicion en laboratorio,No cumple: peptido aislado codificado por fago,Cumple,Cumple,EXCLUIDO,"""Gp28, un peptido antimicrobiano derivado de fago"" evaluado mediante ensayos de CIM.","Peptido aislado, no fago completo.",No verificado en esta ronda — revisar manualmente si es relevante.,Sí
73,Wongprot et al. 2026 - fago vB_Pae_YuaWU01,2026,No cumple: caracterizacion en laboratorio,Cumple: fago completo,Cumple,Cumple,EXCLUIDO,"Aislado de aguas residuales hospitalarias tailandesas, sin ensayo animal/clinico.",Caracterizacion in vitro.,Colección/referencia: ATCC.,Sí
74,Xavier et al. 2025 - estudio epidemiologico molecular (MLST/CRISPR-Cas),2025,N/A,"No cumple: estudia sistemas de defensa anti-fago (CRISPR/Cas), no fagoterapia",N/A,Cumple,EXCLUIDO,Analisis de sistemas CRISPR/Cas y elementos moviles predatorios en aislados brasilenos.,No administra fagoterapia.,"N/A — excluido por otro criterio (I/S), no por Población.",Sí
75,"Yang et al. 2019 - estrategias de screening de fagos liticos, UCI de quemados",2019,"486 pacientes con BSI, pero fagos NO administrados a ellos","No cumple: fagos aislados del AMBIENTE por separado, no dados a pacientes",N/A,Cumple (2019),EXCLUIDO,"""el bacteriofago litico fue aislado del ambiente"" (hilo de investigacion separado de los pacientes).","Vigilancia epidemiologica + aislamiento ambiental, no terapia. Excluido unicamente por Intervencion tras ampliar el corte de antiguedad a 2019.","N/A — excluido por otro criterio (I/S), no por Población.",Parcial — P. aeruginosa fue solo ~14% de los 486 casos de bacteriemia; la mayoría fueron otros bacilos gram-negativos
76,Zhang et al. 2021 - fagoterapia en infeccion pulmonar de raton,2021,No cumple: modelo de raton (aerosol liquido),Cumple: fago vB_PaeP_PA01EW,Cumple,Cumple,EXCLUIDO,"""modelo de neumonia en ratones mediante exposicion a aerosol liquido de Pseudomonas aeruginosa"".",Modelo animal.,Colección/referencia: ATCC y PAO1 — ensayo en modelo de neumonía en ratón.,Sí
