pmid,year,first_author,title,abstract,journal,pubtypes,mesh,doi,arms,fetch_status,stage1,stage1_rule
32380707,2020,Rubalskii E,Bacteriophage Therapy for Critical Infections Related to Cardiothoracic Surgery.,"(1) Objective: Bacterial resistance to conventional antibiotic therapy is an increasingly significant worldwide challenge to human health. The objective is to evaluate whether bacteriophage therapy could complement or be a viable alternative to conventional antibiotic therapy in critical cases of bacterial infection related to cardiothoracic surgery. (2) Methods: Since September 2015, eight patients with multi-drug resistant or especially recalcitrant Staphylococcus aureus, Enterococcus faecium, Pseudomonas aeruginosa, Klebsiella pneumoniae, and Escherichia coli infections were treated with bacteriophage preparations as a therapy of last resort according to Article 37 of the Declaration of Helsinki. Patients had infections associated with immunosuppression after organ transplantation or had infections of vascular grafts, implanted medical devices, and surgical wounds. Individualized phage preparations were administered locally, orally, or via inhalation for different durations depending on the case. All patients remained on conventional antibiotics during bacteriophage treatment. (3) Results: Patients ranged in age from 13 to 66 years old (average 48.5 ± 16.7) with seven males and one female. Eradication of target bacteria was reached in seven of eight patients. No severe adverse side effects were observed. (4) Conclusions: Phage therapy can effectively treat bacterial infections related to cardiothoracic surgery when conventional antibiotic therapy fails.","Antibiotics (Basel, Switzerland)",Case Reports; Journal Article,,10.1080/21597081.2016.1251379,A_organism_first,ok,ADVANCE,
32383796,2020,Common J,Diversity in CRISPR-based immunity protects susceptible genotypes by restricting phage spread and evolution.,"Diversity in host resistance often associates with reduced pathogen spread. This may result from ecological and evolutionary processes, likely with feedback between them. Theory and experiments on bacteria-phage interactions have shown that genetic diversity of the bacterial adaptive immune system can limit phage evolution to overcome resistance. Using the CRISPR-Cas bacterial immune system and lytic phage, we engineered a host-pathogen system where each bacterial host genotype could be infected by only one phage genotype. With this model system, we explored how CRISPR diversity impacts the spread of phage when they can overcome a resistance allele, how immune diversity affects the evolution of the phage to increase its host range and if there was feedback between these processes. We show that increasing CRISPR diversity benefits susceptible bacteria via a dilution effect, which limits the spread of the phage. We suggest that this ecological effect impacts the evolution of novel phage genotypes, which then feeds back into phage population dynamics.",Journal of evolutionary biology,Journal Article,,10.1111/jeb.13638,A_organism_first,ok,ADVANCE,
32383857,2020,Puhl AC,Discovery and Characterization of Peptide Inhibitors for Calcium and Integrin Binding Protein 1.,"Calcium and integrin binding protein 1 (CIB1) is an EF-hand-containing, small intracellular protein that has recently been implicated in cancer cell survival and proliferation. In particular, CIB1 depletion significantly impairs tumor growth in triple-negative breast cancer (TNBC). Thus, CIB1 is a potentially attractive target for cancer chemotherapy that has yet to be validated by a chemical probe. To produce a probe molecule to the CIB1 helix 10 (H10) pocket and demonstrate that it is a viable target for molecular intervention, we employed random peptide phage display to screen and select CIB1-binding peptides. The top peptide sequence selected, UNC10245092, was produced synthetically, and binding to CIB1 was confirmed by isothermal titration calorimetry (ITC) and a time-resolved fluorescence resonance energy transfer (TR-FRET) assay. Both assays showed that the peptide bound to CIB1 with low nanomolar affinity. CIB1 was cocrystallized with UNC10245092, and the 2.1 Å resolution structure revealed that the peptide binds as an α-helix in the H10 pocket, displacing the CIB1 C-terminal H10 helix and causing conformational changes in H7 and H8. UNC10245092 was further derivatized with a C-terminal Tat-derived cell penetrating peptide (CPP) to demonstrate its effects on TNBC cells in culture, which are consistent with results of CIB1 depletion. These studies provide a first-in-class chemical tool for CIB1 inhibition in cell culture and validate the CIB1 H10 pocket for future probe and drug discovery efforts.",ACS chemical biology,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Amino Acid Sequence; Calcium-Binding Proteins; Calorimetry; Cell Line, Tumor; Drug Discovery; Humans; Hydrophobic and Hydrophilic Interactions; Protein Conformation",10.1021/acschembio.0c00144,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
32386245,2020,Zhou X,A Novel d-Peptide Identified by Mirror-Image Phage Display Blocks TIGIT/PVR for Cancer Immunotherapy.,"The low response rate and adaptive resistance of PD-1/PD-L1 blockade demands the studies on novel therapeutic targets for cancer immunotherapy. We discovered that a novel immune checkpoint TIGIT expressed higher than PD-1 in many tumors especially anti-PD-1 resistant tumors. Here, mirror-image phage display bio-panning was performed using the d-enantiomer of TIGIT synthesized by hydrazide-based native chemical ligation. d-peptide D TBP-3 was identified, which could occupy the binding interface and effectively block the interaction of TIGIT with its ligand PVR. D TBP-3 showed proteolytic resistance, tumor tissue penetrating ability, and significant tumor suppressing effects in a CD8+ T cell dependent manner. More importantly, D TBP-3 could inhibit tumor growth and metastasis in anti-PD-1 resistant tumor model. This is the first d-peptide targeting TIGIT, which could serve as a potential candidate for cancer immunotherapy.",Angewandte Chemie (International ed. in English),"Journal Article; Research Support, Non-U.S. Gov't","Humans; Immunotherapy; Neoplasms; Peptides; Receptors, Immunologic",10.1002/anie.202002783,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
32386318,2020,Quiat D,High-Throughput Screening of Kawasaki Disease Sera for Antiviral Antibodies.,"Clinical features of Kawasaki disease (KD) display overlap with common pediatric viral illnesses, leading some to hypothesize that a viral infection is the inciting event for KD. To investigate viral infection history in KD patients, we performed comprehensive serological profiling using a high-throughput phage immunoprecipitation sequencing assay covering the complete reference protein sequences of known viruses with human tropism. KD and matched febrile control sera did not demonstrate differences in antiviral antibody profiles. We conclude that in the acute and subacute phases of disease, KD patients do not exhibit serologic evidence of exposure to known viruses that differs from controls.",The Journal of infectious diseases,"Journal Article; Research Support, N.I.H., Extramural","Antibodies, Viral; Antiviral Agents; Bacteriophages; Child, Preschool; Female; High-Throughput Screening Assays; Humans; Immunoglobulin G; Infant; Male; Mucocutaneous Lymph Node Syndrome",10.1093/infdis/jiaa253,B_no_organism_block,ok,ADVANCE,
32387436,2020,Lin YW,Pharmacokinetics/pharmacodynamics of antipseudomonal bacteriophage therapy in rats: a proof-of-concept study.,"Pan-drug-resistant (PDR) Pseudomonas aeruginosa is one of the three top-priority pathogens identified by the WHO, and bacteriophages have been investigated as an alternative therapy. However, knowledge on the pharmacokinetics/pharmacodynamics (PK/PD) of phage therapy is sparse, limiting its clinical applications. This study aimed to evaluate the PK/PD of the antipseudomonal phage øPEV20 in vivo following intravenous administration. Healthy Sprague-Dawley rats were given øPEV20 as a single intravenous bolus of ~6, 9 and 11-log10PFU/rat. Arterial blood was sampled over 72 h. At 72 h, the animals were killed and multiple tissues were harvested for biodistribution studies. A PK model was developed using the importance sampling algorithm and deterministic simulations with a PD model were performed. A three-compartment model with non-linear clearance described the exposure of øPEV20 in blood. Model evaluation indicated that the model was robust and parameter estimates were accurate. The median (standard error) values of model-predicted PK parameters for VC, VP1, VP2, Q1, Q2, Vm and Km were 111 mL/rat (8.5%), 128 mL/rat (4.97%), 180 mL/rat (4.59%), 30.4 mL/h/rat (19.2%), 538 mL/h/rat (4.97%), 4.39 × 1010 PFU/h/rat (10.2%) and 1.64 × 107 PFU/mL/rat (3.6%), respectively. The distribution of øPEV20 was not homogeneous; there was preferential accumulation in the liver and spleen. Deterministic simulations with a PD model confirmed the importance of the host immune system in facilitating phage-mediated bacterial elimination. We developed a robust PK model to describe the disposition of phages in healthy rats. This model may have significant potential in facilitating future preclinical and clinical PK/PD investigations.",Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,Journal Article,"Animals; Bacteriophages; Drug Resistance, Multiple, Bacterial; Phage Therapy; Pseudomonas aeruginosa; Rats; Rats, Sprague-Dawley",10.1016/j.cmi.2020.04.039,A_organism_first,ok,EXCLUDED,preclinical: MeSH Animals without Humans
32392794,2020,Ramarao N,Advanced Methods for Detection of Bacillus cereus and Its Pathogenic Factors.,"Bacillus cereus is an opportunistic foodborne pathogen causing food intoxication and infectious diseases. Different toxins and pathogenic factors are responsible for diarrheal syndrome, like nonhemolytic enterotoxin Nhe, hemolytic enterotoxin Hbl, enterotoxin FM and cytotoxin K, while emetic syndrome is caused by the depsipeptide cereulide toxin. The traditional method of B. cereus detection is based on the bacterial culturing onto selective agars and cells enumeration. In addition, molecular and chemical methods are proposed for toxin gene profiling, toxin quantification and strain screening for defined virulence factors. Finally, some advanced biosensors such as phage-based, cell-based, immunosensors and DNA biosensors have been elaborated to enable affordable, sensitive, user-friendly and rapid detection of specific B. cereus strains. This review intends to both illustrate the state of the B. cereus diagnostic field and to highlight additional research that is still at the development level.","Sensors (Basel, Switzerland)",Journal Article; Review,Bacillus cereus; Enterotoxins; Food Microbiology; Foodborne Diseases; Humans; Virulence Factors,10.1016/j.bbagen.2018.07.029,B_no_organism_block,ok,ADVANCE,
32393490,2020,Kebriaei R,Bacteriophage-Antibiotic Combination Strategy: an Alternative against Methicillin-Resistant Phenotypes of Staphylococcus aureus.,"Comparative time-kill experiments with Staphylococcus aureus bacteriophage (phage) Sb-1 alone and phage-antibiotic combinations (PACs) against two methicillin-resistant S. aureus (MRSA) strains have shown synergy with both daptomycin-phage and vancomycin-phage combinations. PACs prevented development of phage resistance and demonstrated bactericidal activity for all triple combinations. In addition, the extracellular membrane vesicle (MV) formation and the potential impact of phage on MV suppression were examined. Our results demonstrate the potential of PAC for combating MRSA infections.",Antimicrobial agents and chemotherapy,Journal Article,Anti-Bacterial Agents; Bacteriophages; Humans; Methicillin Resistance; Methicillin-Resistant Staphylococcus aureus; Microbial Sensitivity Tests; Phenotype; Staphylococcal Infections; Staphylococcus aureus,10.1186/1471-2180-11-258,B_no_organism_block,ok,ADVANCE,
32393891,2020,Kong XD,De novo development of proteolytically resistant therapeutic peptides for oral administration.,"The oral administration of peptide drugs is hampered by their metabolic instability and limited intestinal uptake. Here, we describe a method for the generation of small target-specific peptides (less than 1,600 Da in size) that resist gastrointestinal proteases. By using phage display to screen large libraries of genetically encoded double-bridged peptides on protease-resistant fd bacteriophages, we generated a peptide inhibitor of the coagulation Factor XIa with nanomolar affinity that resisted gastrointestinal proteases in all regions of the gastrointestinal tract of mice after oral administration, enabling more than 30% of the peptide to remain intact, and small quantities of it to reach the blood circulation. We also developed a gastrointestinal-protease-resistant peptide antagonist for the interleukin-23 receptor, which has a role in the pathogenesis of Crohn's disease and ulcerative colitis. The de novo generation of targeted peptides that resist proteolytic degradation in the gastrointestinal tract should help the development of effective peptides for oral delivery.",Nature biomedical engineering,"Journal Article; Research Support, Non-U.S. Gov't","Administration, Oral; Amino Acid Sequence; Animals; Cell Surface Display Techniques; Crystallography, X-Ray; Female; Gastrointestinal Tract; Humans; Isomerism; Mice, Inbred BALB C; Models, Molecular; Peptide Hydrolases; Peptide Library; Peptides; Protein Stability; Protein Structure, Secondary; Proteolysis; Receptors, Interleukin",10.1016/j.ymeth.2012.12.008,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
32396198,2020,O'Sullivan JN,Protecting the outside: biological tools to manipulate the skin microbiota.,"Interest surrounding the role that skin microbes play in various aspects of human health has recently experienced a timely surge, particularly among researchers, clinicians and consumer-focused industries. The world is now approaching a post-antibiotic era where conventional antibacterial therapeutics have shown a loss in effectiveness due to overuse, leading to the looming antibiotic resistance crisis. The increasing threat posed by antibiotic resistance is compounded by an inadequate discovery rate of new antibiotics and has, in turn, resulted in global interest for alternative solutions. Recent studies have demonstrated that imbalances in skin microbiota are associated with assorted skin diseases and infections. Specifically, restoration of this ecosystem imbalance results in an alleviation of symptoms, achieved simply by applying bacteria normally found in abundance on healthy skin to the skin of those deficient in beneficial bacteria. The aim of this review is to discuss the currently available literature on biological tools that have the potential to manipulate the skin microbiota, with particular focus on bacteriocins, phage therapy, antibiotics, probiotics and targets of the gut-skin axis. This review will also address how the skin microbiota protects humans from invading pathogens in the external environment while discussing novel strategies to manipulate the skin microbiota to avoid and/or treat various disease states.",FEMS microbiology ecology,"Journal Article; Research Support, Non-U.S. Gov't; Review",Anti-Bacterial Agents; Bacteria; Humans; Microbiota; Probiotics; Skin,10.1093/femsec/fiaa085,B_no_organism_block,ok,ADVANCE,
32397917,2020,Jiang L,Isolation and Characterization of a Lytic Salmonella paratyphi Phage and Its Antibiofilm Activity Individually or Collaborative with Kanamycin Sulfate.,"Salmonella is among the most serious of foodborne pathogens worldwide and distributed widely in the natural environment; in addition, it has caused severe medical problems and foodborne diseases. Bacterial biofilm was the multicellular community of microorganisms that attached to nonbiological and biological surfaces. Phages and their derivatives are ideal candidates for replacing and compensating antibiotic resistance problems in the future. In this study, a virulent phage of KM15 was isolated from pig slaughterhouse sump samples in Kunming, China. It belonged to the Siphoviridae family, and optimal growth temperature was 42°C, the pH of optimal preservation buffer was 6-7, optimal multiplicity of infection was 0.0001, and the genome size was 41,869 bp. The Salmonella paratyphi A and Salmonella paratyphi B have a broad spectrum of antibiotic resistance and were isolated from clinical patients in the First People's Hospital of Yunnan Province; fortunately, most of them can be lysed by phage KM15. Collaboration of phage KM15 and kanamycin sulfate has a better antibiofilm effect than KM15 and kanamycin sulfate alone, in low-concentration bacterial culture; KM15 has better antibiofilm effect than kanamycin sulfate in high-concentration bacterial culture. The data of this study provided a strong evidence of application of phage to reduce the growth of Salmonella biofilm, which was important for public health.",Viral immunology,"Journal Article; Research Support, Non-U.S. Gov't","Abattoirs; Animals; Anti-Bacterial Agents; Biofilms; China; DNA, Viral; Drug Resistance, Multiple, Bacterial; Genome, Viral; Humans; Kanamycin; Paratyphoid Fever; Salmonella Phages; Salmonella paratyphi A; Siphoviridae; Swine",10.1089/vim.2020.0030,B_no_organism_block,ok,ADVANCE,
32400108,2020,Ferreira VFC,Improved Fmoc-solid-phase peptide synthesis of an extracellular loop of CFTR for antibody selection by the phage display technology.,"Cystic fibrosis (CF), a life-shortening genetic disease, is caused by mutations in the CF transmembrane conductance regulator (CFTR) gene that codes for the CFTR protein, the major chloride channel expressed at the apical membrane of epithelial cells. The development of an imaging probe capable of non-invasively detect CFTR at the cell surface could be of great advantage for the management of CF. With that purpose, we synthesized the first extracellular loop of CFTR protein (ECL1) through fluorenylmethyloxycarbonyl (Fmoc)-based microwave-assisted solid-phase peptide synthesis (SPPS), according to a reported methodology. However, aspartimide formation, a well-characterized side reaction in Fmoc-SPPS, prompted us to adopt a different side-chain protection strategy for aspartic acid residues present in ECL1 sequence. The peptide was subsequently modified via PEGylation and biotinylation, and cyclized through disulfide bridge formation, mimicking the native loop conformation in CFTR protein. Herein, we report improvements in the synthesis of the first extracellular loop of CFTR, including peptide modifications that can be used to improve antigen presentation in phage display for selection of novel antibodies against plasma membrane CFTR.",Journal of peptide science : an official publication of the European Peptide Society,Journal Article,Antibodies; Cell Surface Display Techniques; Cystic Fibrosis Transmembrane Conductance Regulator; Fluorenes; Humans; Peptides; Solid-Phase Synthesis Techniques,10.1002/psc.3253,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
32407161,2020,Liu J,Chromosome and Plasmid Features of Two ST37 Clostridioides difficile Strains Isolated in China Reveal Distinct Multidrug Resistance and Virulence Determinants.,"Clostridioides difficile ST37 is an emerging and prevalent multilocus sequence type and represents a lineage of clinical significance. This study aimed to characterize two epidemic C. difficile ST37 strains, CD161 and CDT4. CD161 acquires a chromosome and two distinct plasmids, pCD161-L, sharing high similarity with Clostridium phage, and pCD161-S, while CDT4 has a chromosome and a plasmid pCDT4 identical to pCD161-S. In the chromosome of both strains, three CdISt1-like elements and a skinCd element, which might influence sporulation, were identified. The multidrug resistance of the strains was due to the mutation in 23S rDNA, gyrA, and gyrB genes and the acquisition of ermB, ant6-Ia, aac6'-aph2'', and tetM genes. In addition, a distinct pathogenicity locus (PaLoc) with truncated tcdA gene represents the genetic feature of ST37 strains. To our knowledge, this is the first complete genome, both chromosomes and plasmids, of epidemic C. difficile ST37 strains in China.","Microbial drug resistance (Larchmont, N.Y.)",Journal Article,"Anti-Bacterial Agents; China; Clostridioides difficile; Drug Resistance, Multiple, Bacterial; Humans; Microbial Sensitivity Tests; Multilocus Sequence Typing; Mutation; Plasmids; Ribotyping; Virulence; Virulence Factors",10.1089/mdr.2019.0461,B_no_organism_block,ok,ADVANCE,
32409965,2021,Miller AM,Intraperitoneal CMP-001: A Novel Immunotherapy for Treating Peritoneal Carcinomatosis of Gastrointestinal and Pancreaticobiliary Cancer.,"The treatment options for patients with peritoneal carcinomatosis (PC) of gastrointestinal and pancreaticobiliary origins are limited. The virus-like particle, CMP-001, composed of the Qβ bacteriophage capsid protein encapsulating a CpG-A oligodeoxynucleotide, activates plasmacytoid dendritic cells (pDCs) and triggers interferon alpha (IFNα) release, leading to a cascade of anti-tumor immune effects. To evaluate the ability of CMP-001 to trigger an immune response in patients with PC, peritoneal cells were isolated and stimulated ex vivo with CMP-001. Both IFNα release and percentage of pDC were quantified using enzyme-linked immunosorbent assay (ELISA) and flow cytometry, respectively. To evaluate the anti-tumor response in vivo, murine PC models were generated using mouse cancer cell lines (Panc02 and MC38) in immunocompetent mice treated with intraperitoneal CMP-001 or saline control. Survival was followed, and the immunophenotype of cells in the peritoneal tumor microenvironment was evaluated. The pDCs accounted for 1% (range 0.1-3.9%; n = 17) of the isolated peritoneal cells. Ex vivo CMP-001 stimulation of the peritoneal cells released an average of 0.77 ng/ml of IFNα (range, 0-4700 pg/ml; n = 14). The IFNα concentration was proportional to the percentage of pDCs present in the peritoneal cell mixture (r = 0.6; p = 0.037). In murine PC models, intraperitoneal CMP-001 treatment elicited an anti-tumor immune response including an increase in chemokines (RANTES and MIP-1β), pro-inflammatory cytokines (IFNγ, interleukin 6 [IL-6], and IL-12), and peritoneal/tumor immune infiltration (CD4+/CD8+ T and natural killer [NK] cells). The CMP-001 treatment improved survival in both the Panc02 (median, 35 vs 28 days) and the MC38 (median: 57 vs 35 days) PC models (p < 0.05). As a novel immunotherapeutic agent, CMP-001 may be effective for treating patients with PC.",Annals of surgical oncology,Journal Article,Animals; Cytidine Monophosphate; Cytokines; Dendritic Cells; Humans; Immunotherapy; Interleukin-12; Mice; Peritoneal Neoplasms; Tumor Microenvironment,10.1245/s10434-020-08591-7,B_no_organism_block,ok,ADVANCE,
32410729,2020,Vazquez SE,"Identification of novel, clinically correlated autoantigens in the monogenic autoimmune syndrome APS1 by proteome-wide PhIP-Seq.","The identification of autoantigens remains a critical challenge for understanding and treating autoimmune diseases. Autoimmune polyendocrine syndrome type 1 (APS1), a rare monogenic form of autoimmunity, presents as widespread autoimmunity with T and B cell responses to multiple organs. Importantly, autoantibody discovery in APS1 can illuminate fundamental disease pathogenesis, and many of the antigens found in APS1 extend to more common autoimmune diseases. Here, we performed proteome-wide programmable phage-display (PhIP-Seq) on sera from a cohort of people with APS1 and discovered multiple common antibody targets. These novel APS1 autoantigens exhibit tissue-restricted expression, including expression in enteroendocrine cells, pineal gland, and dental enamel. Using detailed clinical phenotyping, we find novel associations between autoantibodies and organ-restricted autoimmunity, including a link between anti-KHDC3L autoantibodies and premature ovarian insufficiency, and between anti-RFX6 autoantibodies and diarrheal-type intestinal dysfunction. Our study highlights the utility of PhIP-Seq for extensively interrogating antigenic repertoires in human autoimmunity and the importance of antigen discovery for improved understanding of disease mechanisms.",eLife,"Journal Article; Research Support, N.I.H., Extramural; Research Support, N.I.H., Intramural; Research Support, Non-U.S. Gov't","Acid Phosphatase; Autoantibodies; Autoantigens; Autoimmunity; Biomarkers; Cell Surface Display Techniques; Female; HEK293 Cells; Humans; Male; Peptide Library; Polyendocrinopathies, Autoimmune; Proteins; Proteome; Proteomics; Regulatory Factor X Transcription Factors",10.1007/BF02048548,B_no_organism_block,ok,ADVANCE,
32413276,2020,Wu Y,Identification of Human Single-Domain Antibodies against SARS-CoV-2.,"The worldwide spread of COVID-19 highlights the need for an efficient approach to rapidly develop therapeutics and prophylactics against SARS-CoV-2. The SARS-CoV-2 spike protein, containing the receptor-binding domain (RBD) and S1 subunit involved in receptor engagement, is a potential therapeutic target. We describe the development of a phage-displayed single-domain antibody library by grafting naive complementarity-determining regions (CDRs) into framework regions of a human germline immunoglobulin heavy chain variable region (IGHV) allele. Panning this library against SARS-CoV-2 RBD and S1 subunit identified fully human single-domain antibodies targeting five distinct epitopes on SARS-CoV-2 RBD with subnanomolar to low nanomolar affinities. Some of these antibodies neutralize SARS-CoV-2 by targeting a cryptic epitope located in the spike trimeric interface. Collectively, this work presents a versatile platform for rapid antibody isolation and identifies promising therapeutic anti-SARS-CoV-2 antibodies as well as the diverse immogneic profile of the spike protein.",Cell host & microbe,Journal Article,"Antibodies, Monoclonal; Antibodies, Neutralizing; Epitopes; Humans; Immunoglobulin Heavy Chains; Immunoglobulin Variable Region; Models, Molecular; Peptide Library; Protein Domains; Single-Domain Antibodies; Spike Glycoprotein, Coronavirus",10.1126/science.abb7269,B_no_organism_block,ok,ADVANCE,
32413370,2020,Cao W,CD4 binding loop responsible for the neutralization of human monoclonal neutralizing antibody Y498.,"Broad and potent human monoclonal neutralizing antibodies have considerable potential in the prevention and treatment of acquired immunodeficiency syndrome (AIDS). To identify the key amino acid recognition site contacted with neutralizing antibody Y498, peptides were panned from the PhD-12 peptide library and predicted using online software. Then, four key amino acid sites, G367, D368, E370, and V372 located on the CD4 binding loop on gp120 of envelope of human immunodeficiency virus-1 (HIV-1), were found to determine the neutralization of antibody Y498. Residue E370 is in the deep part of the CD4 binding loop, which affects Y498-mediated neutralization. This form of recognition leads to a somewhat limiting neutralization spectrum of neutralizing antibody Y498, although it has some neutralization ability. Further study of the interactions between the neutralizing antibody Y498 and its epitope on the surface of the virus may facilitate vaccine development and so prevent new AIDS cases.",Virus research,"Journal Article; Research Support, Non-U.S. Gov't","Acquired Immunodeficiency Syndrome; Antibodies, Monoclonal; Antibodies, Neutralizing; Cell Line; Epitopes; HIV Antibodies; HIV-1; Humans",10.1016/j.virusres.2020.198001,B_no_organism_block,ok,ADVANCE,
32415395,2020,Zhang Y,The Stabilizing Excipients in Dry State Therapeutic Phage Formulations.,"Phage therapy has gained prominence due to the increasing pathogenicity of ""super bugs"" and the rise of their multidrug resistance to conventional antibiotics. Dry state formulation of therapeutic phage is attractive to improve their ""druggability"" by increasing their shelf life, improving their ease of handling, and ultimately retaining their long-term potency. The use and selection of excipients are critical to stabilize phage in solid formulations and protect their viability from stresses encountered during the solidification process and long-term storage prior to use. Here, this review focuses on the current classes of excipients used to manufacture dry state phage formulations and their ability to stabilize and protect phage throughout the process, as discussed in the literature. We provide perspective of outstanding challenges involved in the formulation of dry state phage. We suggest strategies to improve excipient identification and selection, optimize the potential excipient combinations to improve phage viability during formulation, and evaluate new methodologies that can provide greater insight into phage-excipient interactions to improve design criteria to improve formulation of dry state phage therapeutics. Addressing these challenges opens up new opportunities to re-design and re-imagine phage formulations for improved efficacy as a pharmaceutical product.",AAPS PharmSciTech,Journal Article; Review,Animals; Bacteriophages; Biological Products; Drug Compounding; Drug Stability; Excipients; Humans,10.1208/s12249-020-01673-5,B_no_organism_block,ok,ADVANCE,
32416952,2020,de Koning CB,"Biosynthesis, synthetic studies, and biological activities of the jadomycin alkaloids and related analogues.","The jadomycins are an expanding class of compounds produced from Streptomyces venezuelae, by diverting the normal biosynthesis which provides the antibiotic chloramphenicol. In the presence of amino acids, and either by heat shock, supplementation with ethanol, or when phage SV1 is added to the culture, the formation of substituted jadomycins and benzo[b]phenanthridines can be achieved. The first part of this review provides details of intermediates involved in the biosynthesis of the jadomycins and the related benzo[b]phenanthridines. Both the jadomycins and the benzo[b]phenanthridines share biosynthetic pathways with a large class of naturally occurring compounds known as the angucyclines. The biosynthetic pathways diverge when it is postulated that an intermediate quinone, such as 3-(2-formyl-6-hydroxy-4-methylphenyl)-8-hydroxy-1,4-naphthoquinone-2-carboxylic acid is formed. The quinone then undergoes reactions with amino acids and derivatives in the culture medium to ultimately afford a library of jadomycins and a few benzo[b]phenanthridines. The second part of the review initially details synthetic efforts toward the synthesis of the naturally occurring benzo[b]phenanthridine, phenanthroviridin, and then outlines methods that have been used to assemble a selection of jadomycins. Total syntheses of jadomycin A and B, derived from l-isoleucine, are described. In addition, the synthesis of the aglycon of jadomycins M, W, S, and T is outlined. These four jadomycins were derived from l-methionine, l-tryptophan, l-serine and l-threonine respectively. As a result of these synthetic efforts, the structures of jadomycin S and T have been revised. The third part of the review describes the reported antibacterial and anticancer activities of both the jadomycins and some naturally occurring benzo[b]phenanthridines.",The Alkaloids. Chemistry and biology,Journal Article; Review,Alkaloids; Anti-Bacterial Agents; Antifungal Agents; Antineoplastic Agents; Bacteria; Candida albicans; Humans; Isoquinolines; Naphthoquinones; Neoplasms; Phenanthridines,10.1016/bs.alkal.2020.02.001,B_no_organism_block,ok,ADVANCE,
32417652,2020,Rahn JJ,Development of a peptide-based delivery platform for targeting malignant brain tumors.,"Despite extensive molecular characterization, human glioblastoma remains a fatal disease with survival rates measured in months. Little improvement is seen with standard surgery, radiotherapy and chemotherapy. Clinical progress is hampered by the inability to detect and target glioblastoma disease reservoirs based on a diffuse invasive pattern and the presence of molecular and phenotypic heterogeneity. The goal of this study was to target the invasive and stem-like glioblastoma cells that evade first-line treatments using agents capable of delivering imaging enhancers or biotherapeutic cargo. To accomplish this, a combinatorial phage display library was biopanned against glioblastoma cell model systems that accurately recapitulate the intra- and inter-tumor heterogeneity and infiltrative nature of the disease. Candidate peptides were screened for specificity and ability to target glioblastoma cells in vivo. Cargo-conjugated peptides delivered contrast-enhancing agents to highly infiltrative tumor populations in intracranial xenograft models without the obvious need for blood brain barrier disruption. Simultaneous use of five independent targeting peptides provided greater coverage of this complex tumor and selected peptides have the capacity to deliver a therapeutic cargo (oncolytic virus VSVΔM51) to the tumor cells in vivo. Herein, we have identified a series of peptides with utility as an innovative platform to assist in targeting glioblastoma for the purpose of diagnostic or prognostic imaging, image-guided surgery, and/or improved delivery of therapeutic agents to glioblastoma cells implicated in disease relapse.",Biomaterials,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Brain Neoplasms; Cell Line, Tumor; Glioblastoma; Humans; Oncolytic Viruses; Peptides",10.1016/j.biomaterials.2020.120105,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
32418663,2020,Filipić A,"Cold Plasma, a New Hope in the Field of Virus Inactivation.","Viruses can infect all cell-based organisms, from bacteria to humans, animals, and plants. They are responsible for numerous cases of hospitalization, many deaths, and widespread crop destruction, all of which result in an enormous medical, economical, and biological burden. Each of the currently used decontamination methods has important drawbacks. Cold plasma (CP) has entered this field as a novel, efficient, and clean solution for virus inactivation. We present recent developments in this promising field of CP-mediated virus inactivation, and describe the applications and mechanisms of the inactivation. This is particularly relevant because viral pandemics, such as COVID-19, highlight the need for alternative virus inactivation methods to replace, complement, or upgrade existing procedures.",Trends in biotechnology,"Journal Article; Research Support, Non-U.S. Gov't; Review","Animals; Bacteriophages; Betacoronavirus; Biotechnology; COVID-19; Coronavirus Infections; Decontamination; Disinfection; Environmental Microbiology; Humans; Models, Biological; Pandemics; Plant Viruses; Plasma Gases; Pneumonia, Viral; Proof of Concept Study; SARS-CoV-2; Virus Inactivation; Viruses",10.1002/ppap.201900269,B_no_organism_block,ok,ADVANCE,
